Region,Team Name
Americas Championship,G2 Esports
Americas Championship,Sentinels
Americas Championship,NRG
Americas Championship,MIBR
Americas Championship,Cloud9
Americas Championship,KRÜ Esports
Americas Championship,Evil Geniuses
Americas Championship,100 Thieves
Americas Championship,LEVIATÁN
Americas Championship,2Game Esports
Americas Championship,LOUD
China Championship,Bilibili Gaming
China Championship,EDward Gaming
China Championship,Xi Lai Gaming
China Championship,Dragon Ranger Gaming
China Championship,Wolves Esports
China Championship,Trace Esports
China Championship,FunPlus Phoenix
China Championship,TYLOO
China Championship,Titan Esports Club
China Championship,Nova Esports
China Championship,All Gamers
China Championship,JDG Esports
EMEA Championship,Team Liquid
EMEA Championship,FNATIC
EMEA Championship,Team Heretics
EMEA Championship,BBL Esports
EMEA Championship,GIANTX
EMEA Championship,Natus Vincere
EMEA Championship,Team Vitality
EMEA Championship,Karmine Corp
EMEA Championship,FUT Esports
EMEA Championship,KOI
EMEA Championship,Gentle Mates
Pacific Championship,Paper Rex
Pacific Championship,T1
Pacific Championship,Rex Regum Qeon
Pacific Championship,DRX
Pacific Championship,Gen.G
Pacific Championship,TALON
Pacific Championship,Nongshim RedForce
Pacific Championship,BOOM Esports
Pacific Championship,ZETA DIVISION
Pacific Championship,DetonatioN FocusMe
Pacific Championship,Global Esports
Pacific Championship,Team Secret
Americas Championship,FURIA
EMEA Championship,Apeks
China Championship,Attacking Soul Esports
China Championship,Four Angry Men
China Championship,Monarch Effect
China Championship,Royal Never Give Up
China Championship,Weibo Gaming
China Championship,Shenzhen NTER
Pacific Championship,BLEED
